ipa,sampa,syllabic,consonantal,sonorant,continuant,delayed release,approximant,tap,trill,nasal,voice,spread gl,constr gl,labial,round,labiodental,coronal,anterior,distributed,strident,lateral,dorsal,high,low,front,back,tense
A,A,+,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,0,0,-,+,-,+,0
a,a,+,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,0,0,-,+,-,-,0
u,u,+,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,0,0,+,-,-,+,+
ʊ,U,+,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,0,0,+,-,-,+,-
o,o,+,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,0,0,-,-,-,+,+
ɔ,O,+,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,0,0,-,-,-,+,-
ʉ,},+,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,0,0,+,-,-,-,+
ɵ,u0,+,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,0,0,-,-,-,-,+
e,e,+,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,0,0,-,-,+,-,+
i,i,+,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,0,0,+,-,+,-,+
ɪ,I,+,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,0,0,+,-,+,-,-
y,y,+,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,0,0,+,-,+,-,+
ʏ,Y,+,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,0,0,+,-,+,-,-
ɛ,E,+,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,0,0,-,-,+,-,-
ø,2,+,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,0,0,-,-,+,-,+
œ,9,+,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,0,0,-,-,+,-,-
ə,@,+,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-
j,j,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,+
r,r,-,+,+,+,0,+,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,0,0,0,0,0
ɭ,l`,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,+,-,-,-,+,-,0,0,0,0,0
l,l,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,0,0,0,0,0
m,m,-,+,+,-,0,-,-,-,+,+,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
ɳ,n`,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0
n,n,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,+,+,-,-,-,-,0,0,0,0,0
ŋ,N,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0
p,p,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
b,b,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
t,t,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,0,0,0,0,0
ʈ,t`,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0
d,d,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,0,0,0,0,0
ɖ,d`,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0
k,k,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0
g,g,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0
h,h,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,0,0,0,-,-,0,0,0,0,0
f,f,-,+,-,+,+,-,-,-,-,-,-,-,+,-,+,-,0,0,0,-,-,0,0,0,0,0
v,v,-,+,-,+,+,-,-,-,-,+,-,-,+,-,+,-,0,0,0,-,-,0,0,0,0,0
s,s,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,0,0,0,0,0
ç,C,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,-,+,-,0
ʂ,s`,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,0,0,0,0,0
ɕ,s',-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,+,+,-,+,-,0
ɧ,x\,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,+,+,-,0,0,0
